name,dates/start/localDate,dates/start/localTime,dates/timezone,classifications/0/segment/name,classifications/0/genre/name,classifications/0/subGenre/name,stadium capacity,_embedded/venues/0/name,_embedded/venues/0/postalCode,_embedded/venues/0/city/name,_embedded/venues/0/state/name,_embedded/venues/0/state/stateCode,_embedded/venues/0/address/line1,_embedded/venues/0/location/longitude,_embedded/venues/0/location/latitude
Justin Bieber Purpose World Tour,24-Aug-17,19:30:00,America/New_York,Music,,,82500,MetLife Stadium,7073,East Rutherford,New Jersey,NJ,One MetLife Stadium Drive,-74.07444122,40.81393312
"Coldplay “A Head Full Of Dreams Tour""",1-Aug-17,19:30:00,America/New_York,Music,,,82500,MetLife Stadium,7073,East Rutherford,New Jersey,NJ,One MetLife Stadium Drive,-74.07444122,40.81393312
Brad Paisley,4-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
Dustin Lynch,4-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
Chase Bryant,4-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
Dustin Lynch,4-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
Lindsay Ell ,4-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
Lady Antebellum,11-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
Kelsea Ballerini,11-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
Brett Young ,11-Aug-17,19:00:00,America/New_York,Music,,,17500,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434
